obs_date,source,metric,value,unit,note
2024-05-19,wikipedia,pageviews,4854,count,Grand_Theft_Auto_VI
2024-05-20,price,close,150.9,usd,
2024-05-20,price,pct_vs_entry,-39.64,pct,entry=250.0
2024-05-20,wikipedia,pageviews,4640,count,Grand_Theft_Auto_VI
2024-05-21,price,close,151.42,usd,
2024-05-21,price,pct_vs_entry,-39.432,pct,entry=250.0
2024-05-21,wikipedia,pageviews,4761,count,Grand_Theft_Auto_VI
2024-05-22,price,close,150.61,usd,
2024-05-22,price,pct_vs_entry,-39.756,pct,entry=250.0
2024-05-22,wikipedia,pageviews,4183,count,Grand_Theft_Auto_VI
2024-05-23,price,close,152.33,usd,
2024-05-23,price,pct_vs_entry,-39.068,pct,entry=250.0
2024-05-23,wikipedia,pageviews,4152,count,Grand_Theft_Auto_VI
2024-05-24,price,close,154.6,usd,
2024-05-24,price,pct_vs_entry,-38.16,pct,entry=250.0
2024-05-24,wikipedia,pageviews,3943,count,Grand_Theft_Auto_VI
2024-05-25,wikipedia,pageviews,3809,count,Grand_Theft_Auto_VI
2024-05-26,wikipedia,pageviews,4245,count,Grand_Theft_Auto_VI
2024-05-27,wikipedia,pageviews,4528,count,Grand_Theft_Auto_VI
2024-05-28,price,close,156.79,usd,
2024-05-28,price,pct_vs_entry,-37.284,pct,entry=250.0
2024-05-28,wikipedia,pageviews,4475,count,Grand_Theft_Auto_VI
2024-05-29,price,close,159.68,usd,
2024-05-29,price,pct_vs_entry,-36.128,pct,entry=250.0
2024-05-29,wikipedia,pageviews,4585,count,Grand_Theft_Auto_VI
2024-05-30,price,close,159.78,usd,
2024-05-30,price,pct_vs_entry,-36.088,pct,entry=250.0
2024-05-30,wikipedia,pageviews,4600,count,Grand_Theft_Auto_VI
2024-05-31,price,close,160.36,usd,
2024-05-31,price,pct_vs_entry,-35.856,pct,entry=250.0
2024-05-31,wikipedia,pageviews,4390,count,Grand_Theft_Auto_VI
2024-06-01,wikipedia,pageviews,4284,count,Grand_Theft_Auto_VI
2024-06-02,wikipedia,pageviews,5049,count,Grand_Theft_Auto_VI
2024-06-03,price,close,163.64,usd,
2024-06-03,price,pct_vs_entry,-34.544,pct,entry=250.0
2024-06-03,wikipedia,pageviews,5216,count,Grand_Theft_Auto_VI
2024-06-04,price,close,165.96,usd,
2024-06-04,price,pct_vs_entry,-33.616,pct,entry=250.0
2024-06-04,wikipedia,pageviews,4276,count,Grand_Theft_Auto_VI
2024-06-05,price,close,167.43,usd,
2024-06-05,price,pct_vs_entry,-33.028,pct,entry=250.0
2024-06-05,wikipedia,pageviews,4337,count,Grand_Theft_Auto_VI
2024-06-06,price,close,165.67,usd,
2024-06-06,price,pct_vs_entry,-33.732,pct,entry=250.0
2024-06-06,wikipedia,pageviews,4046,count,Grand_Theft_Auto_VI
2024-06-07,price,close,164.77,usd,
2024-06-07,price,pct_vs_entry,-34.092,pct,entry=250.0
2024-06-07,wikipedia,pageviews,4171,count,Grand_Theft_Auto_VI
2024-06-08,wikipedia,pageviews,4254,count,Grand_Theft_Auto_VI
2024-06-09,wikipedia,pageviews,4702,count,Grand_Theft_Auto_VI
2024-06-10,price,close,160.54,usd,
2024-06-10,price,pct_vs_entry,-35.784,pct,entry=250.0
2024-06-10,wikipedia,pageviews,4832,count,Grand_Theft_Auto_VI
2024-06-11,price,close,158.51,usd,
